"party","name","correctYea","wrongYea","wrongNay","correctNay","GMP","CC","coord1D","coord2D","se1D","se2D","corr.1"
"국민의힘","김희곤",738,22,4,10,0.886066198348999,0.96640826873385,0.0267216805368662,-0.0845698863267899,0,0,0
"국민의힘","김희국",748,16,1,18,0.905030131340027,0.978288633461047,-0.00773648358881474,-0.262426257133484,0,0,0
"더불어민주당","남인순",928,24,4,13,0.922362685203552,0.971104231166151,-0.579898536205292,-0.0903332456946373,0,0,0
"더불어민주당","노웅래",1039,16,2,4,0.929475545883179,0.983034872761546,-0.429813027381897,-0.0179045256227255,0,0,0
"더불어민주당","도종환",967,21,3,2,0.938014566898346,0.97583081570997,-0.467917919158936,0.0759373754262924,0,0,0
"국민의힘","류성걸",887,90,5,32,0.760936379432678,0.906311637080868,0.327970653772354,-0.235733479261398,0,0,0
"정의당","류호정",935,57,3,72,0.856334030628204,0.943767572633552,-0.607947707176208,-0.793977022171021,0,0,0
"더불어민주당","맹성규",963,2,1,0,0.975809574127197,0.996894409937888,-0.364667117595673,0.249888643622398,0,0,0
"더불어민주당","문정복",787,32,3,1,0.881195724010468,0.957472660996355,-0.590515792369843,0.287866592407227,0,0,0
"더불어민주당","문진석",846,42,4,2,0.815471768379211,0.948545861297539,-0.41473314166069,-0.0216460153460503,0,0,0
"더불어민주당","민병덕",918,20,0,5,0.917675077915192,0.978791092258749,-0.467130124568939,0.104777835309505,0,0,0
"더불어민주당","민형배",917,103,5,30,0.75401782989502,0.897630331753555,-0.832719027996063,0.0950751528143883,0,0,0
"더불어민주당","민홍철",943,35,0,5,0.870144367218018,0.964394710071211,-0.42447492480278,0.0315003804862499,0,0,0
"더불어민주당","박광온",917,10,0,0,0.950536370277405,0.989212513484358,-0.386314958333969,0.224913492798805,0,0,0
"국민의힘","박대수",821,66,6,27,0.79402881860733,0.921739130434783,0.311362206935883,-0.380285769701004,0,0,0
"국민의힘","박대출",305,115,54,199,0.617865204811096,0.74888558692422,0.924436748027802,-0.381335645914078,0,0,0
"국민의힘","박덕흠",273,6,0,2,0.915514469146729,0.97864768683274,-0.0513741597533226,-0.208594173192978,0,0,0
"더불어민주당","박범계",487,9,0,0,0.939662396907806,0.981854838709677,-0.419137477874756,0.148536950349808,0,0,0
"더불어민주당","박병석",677,14,0,1,0.934803783893585,0.979768786127168,-0.345354378223419,0.21984638273716,0,0,0
"더불어민주당","박상혁",944,40,2,0,0.89516669511795,0.957403651115619,-0.620842754840851,0.457845389842987,0,0,0
